engq	eng-x-bible-newworld2013
deui	deu-x-bible-newworld
ces5	ces-x-bible-newworld
fraa	fra-x-bible-newworld
ita1	ita-x-bible-2009
spa3	spa-x-bible-newworld
prs1	prs-x-bible-goodnews
ron1	ron-x-bible-2006
hin4	hin-x-bible-newworld
zho3	zho-x-bible-newworld
afr5	afr-x-bible-newworld
sqi0	sqi-x-bible
arb0	arb-x-bible
hye3	hye-x-bible-newworld
aze2	aze-x-bible-newworld
bak0	bak-x-bible
eus2	eus-x-bible-batua
bel1	bel-x-bible-bokun
ben1	ben-x-bible-common
bre0	bre-x-bible
bul3	bul-x-bible-newworld
mya3	mya-x-bible-newworld
cat1	cat-x-bible-evangelica
ceb4	ceb-x-bible-newworld
che0	che-x-bible
chv0	chv-x-bible
hrv3	hrv-x-bible-newworld
dan4	dan-x-bible-newworld
nld4	nld-x-bible-newworld
est3	est-x-bible-newworld2009
kat0	kat-x-bible
ell6	ell-x-bible-modern2009
guj0	guj-x-bible
hat3	hat-x-bible-newworld2007
hun3	hun-x-bible-2012
isl0	isl-x-bible
ind2	ind-x-bible-easy2005
gle0	gle-x-bible
jpn1	jpn-x-bible-newworld
jav3	jav-x-bible-2006
kan2	kan-x-bible-newworld
kaz0	kaz-x-bible
kir1	kir-x-bible-2005
kor5	kor-x-bible-newworld2014
lat1	lat-x-bible-novavulgata
lav0	lav-x-bible
lit1	lit-x-bible-ecumenical
nds0	nds-x-bible
mkd1	mkd-x-bible-2004
msa1	msa-x-bible-klinkert
mal0	mal-x-bible
mar0	mar-x-bible
min0	min-x-bible
nep1	nep-x-bible-revised
nob5	nob-x-bible-2011
nno2	nno-x-bible-2011
pol5	pol-x-bible-newworld
por9	por-x-bible-versaointernacional
pan1	pan-x-bible-newworld
rus6	rus-x-bible-slovozhizny2006
srp1	srp-x-bible-newworld
slk3	slk-x-bible-standard
slv1	slv-x-bible-newworld
sun1	sun-x-bible-formal
swe1	swe-x-bible-newworld
tgl3	tgl-x-bible-newworld
tgk0	tgk-x-bible
tam1	tam-x-bible-newworld
tat0	tat-x-bible
tel0	tel-x-bible
tur2	tur-x-bible-2009
ukr4	ukr-x-bible-2009
urd4	urd-x-bible-revised2010
uzb2	uzb-x-bible-latin2013
vie6	vie-x-bible-newworld
war1	war-x-bible-newworld
cym1	cym-x-bible-colloquial2013
fry0	fry-x-bible
yor1	yor-x-bible-2010
plt3	plt-x-bible-newworld
swh2	swh-x-bible-newworld
finx	fin-x-bible-helfi
grcx	grc-x-bible-helfi
hebx	heb-x-bible-helfi
